"reg","loc","year","ave"
1,"A",1950,NA
1,"A",1951,-18.56666667
1,"A",1952,-17.55
1,"A",1953,-16.85
1,"A",1954,-17.85
1,"A",1955,-18.2
1,"A",1956,-18.34166667
1,"A",1957,-18.08333333
1,"A",1958,-17.03333333
1,"A",1959,-18.05
1,"A",1960,-17.75
1,"A",1961,-18.86666667
1,"A",1962,-17.11666667
1,"A",1963,-17.71666667
1,"A",1964,-18.69166667
1,"A",1965,-17.34166667
1,"A",1966,-18.95833333
1,"A",1967,-17.25
1,"A",1968,-18.85
1,"A",1969,-17.775
1,"A",1970,-18.55833333
1,"A",1971,-17.94166667
1,"A",1972,-18.80833333
1,"A",1973,-18.45
1,"A",1974,-18.86666667
1,"A",1975,-19
1,"A",1976,-18.71666667
1,"A",1977,-19.125
1,"A",1978,-17.74166667
1,"A",1979,-19.675
1,"A",1980,-17.95833333
1,"A",1981,-15.91666667
1,"A",1982,-18.45833333
1,"A",1983,-17.83333333
1,"A",1984,-18.6
1,"A",1985,-18.71666667
1,"A",1986,-18.26666667
1,"A",1987,-18.81666667
1,"A",1988,-16.85
1,"A",1989,-18.20833333
1,"A",1990,-17.58333333
1,"A",1991,-16.925
1,"A",1992,-18.70833333
1,"A",1993,-17.71666667
1,"A",1994,-17.21666667
1,"A",1995,-17.14166667
1,"A",1996,-16.55
1,"A",1997,-17.66666667
1,"A",1998,-16.225
1,"A",1999,-17.89166667
1,"A",2000,NA
1,"A",2001,-18.2
1,"A",2002,-17.46666667
1,"A",2003,-17.54166667
1,"A",2004,-19.41666667
1,"A",2005,-16.68333333
1,"A",2006,NA
1,"A",2007,NA
1,"M",1950,-18.53333333
1,"M",1951,-17.025
1,"M",1952,-16.95
1,"M",1953,-17.35833333
1,"M",1954,-17.65833333
1,"M",1955,-18.20833333
1,"M",1956,-18.50833333
1,"M",1957,-17.89166667
1,"M",1958,-17.10833333
1,"M",1959,-17.45833333
1,"M",1960,-16.825
1,"M",1961,-18.44166667
1,"M",1962,-16.73333333
1,"M",1963,-17.56666667
1,"M",1964,-19.4
1,"M",1965,-17.85833333
1,"M",1966,-18.45
1,"M",1967,-18.175
1,"M",1968,-18.30833333
1,"M",1969,-16.7
1,"M",1970,-18.16666667
1,"M",1971,-17.46666667
1,"M",1972,-18.99166667
1,"M",1973,-16.41666667
1,"M",1974,-19.05
1,"M",1975,-18.3
1,"M",1976,-17.85833333
1,"M",1977,-17.6
1,"M",1978,-17.44166667
1,"M",1979,-18.75833333
1,"M",1980,-17.5
1,"M",1981,-15.70833333
1,"M",1982,-18.75833333
1,"M",1983,-17.41666667
1,"M",1984,-17.65833333
1,"M",1985,-18.15833333
1,"M",1986,-18.54166667
1,"M",1987,-18.28333333
1,"M",1988,-16.08333333
1,"M",1989,-16.88333333
1,"M",1990,-17.025
1,"M",1991,-17.725
1,"M",1992,-17.35833333
1,"M",1993,-16.16666667
1,"M",1994,-17.54166667
1,"M",1995,-15.94166667
1,"M",1996,-17.04166667
1,"M",1997,NA
1,"M",1998,NA
1,"M",1999,NA
1,"M",2000,NA
1,"M",2001,NA
1,"M",2002,NA
1,"M",2003,-17.14166667
1,"M",2004,NA
1,"M",2005,-16.61666667
1,"M",2006,-14.58333333
1,"M",2007,NA
1,"S",1950,NA
1,"S",1951,NA
1,"S",1952,NA
1,"S",1953,NA
1,"S",1954,NA
1,"S",1955,NA
1,"S",1956,-15.425
1,"S",1957,-14.63333333
1,"S",1958,-13.31666667
1,"S",1959,-14.59166667
1,"S",1960,NA
1,"S",1961,-15.39166667
1,"S",1962,-12.35833333
1,"S",1963,-13.39166667
1,"S",1964,-16.125
1,"S",1965,-14.13333333
1,"S",1966,-14.16666667
1,"S",1967,-15.00833333
1,"S",1968,-13.325
1,"S",1969,-12.625
1,"S",1970,-13.55
1,"S",1971,-13.625
1,"S",1972,-15.325
1,"S",1973,-12.20833333
1,"S",1974,-16.60833333
1,"S",1975,-14.425
1,"S",1976,-13.54166667
1,"S",1977,-12.10833333
1,"S",1978,-13.96666667
1,"S",1979,-14.16666667
